
	(1)	(2)	(3)	(4)	(5)	(6)
	BE	DE	ES	CZ	UK	FR

Firm-level bargaining						
% of women empl.	-0.239***	0.121	-0.280***	-0.304*	0.0184	0.429***
	(0.0641)	(0.0641)	(0.0408)	(0.146)	(0.0543)	(0.0529)

Mean experience empl.	0.0268***	0.0269***	0.0387***	0.0798***	-0.0118***	0.00654*
	(0.00278)	(0.00262)	(0.00160)	(0.00679)	(0.00246)	(0.00259)

% empl. with tert. educ.	0.172*	0.672***	0.421***	0.263	-0.204*	-0.0332
	(0.0804)	(0.135)	(0.0390)	(0.353)	(0.0978)	(0.0752)

% empl. with sec. educ.	0.146**	0.709***	0.168***	0.0132	-0.142	0.466***
	(0.0558)	(0.0986)	(0.0380)	(0.237)	(0.0939)	(0.0693)

% managers and profess.	-0.0416	0.0225	-0.167**	0.225	-0.000635	-0.535***
	(0.0906)	(0.109)	(0.0606)	(0.293)	(0.0593)	(0.0789)

% part-time empl.	-0.0118	0.0681	0.0836	0.190	-0.0841	0.246***
	(0.0759)	(0.0696)	(0.0460)	(0.368)	(0.0590)	(0.0576)

% permanent contracts	0.578***	0.270*	-0.122**	-0.287	0.248*	-0.217**
	(0.113)	(0.125)	(0.0383)	(0.149)	(0.0977)	(0.0793)

50-249	0.710***	0.120**	0.631***	0.419***	-0.187**	0.489***
	(0.0407)	(0.0381)	(0.0235)	(0.0851)	(0.0719)	(0.0385)

>=250	1.149***	0.190***	1.148***	1.133***	-0.294***	0.631***
	(0.0425)	(0.0373)	(0.0234)	(0.0904)	(0.0510)	(0.0389)

Public	-1.236***	-0.918***	0.580***	0.212	-1.346***	0.856***
	(0.0972)	(0.0405)	(0.0405)	(0.140)	(0.0407)	(0.0431)

D	-0.422	-0.285*	-0.347***	0.631**	0.196	-1.431***
	(0.243)	(0.137)	(0.0667)	(0.218)	(0.310)	(0.180)

E	-0.837**	0.420**	0.282***	1.086***	0.133	1.140***
	(0.304)	(0.141)	(0.0804)	(0.305)	(0.327)	(0.155)

F	-1.182***	-1.071***	-0.883***	-0.931***	-1.039**	-1.339***
	(0.253)	(0.202)	(0.0769)	(0.224)	(0.318)	(0.279)

G	-0.842***	-0.498**	-0.415***	0.887***	0.386	-1.402***
	(0.245)	(0.157)	(0.0719)	(0.263)	(0.310)	(0.224)

H	-1.019***	0.143	-0.726***	0	-0.532	-0.653***
	(0.267)	(0.167)	(0.0844)	(.)	(0.333)	(0.183)

I	-0.464	1.213***	-0.0763	-0.191	-0.252	0.501**
	(0.248)	(0.135)	(0.0705)	(0.227)	(0.309)	(0.152)

J	-0.0783	-0.863***	-1.032***	0.331	0.551	-0.148
	(0.255)	(0.162)	(0.0821)	(0.313)	(0.315)	(0.159)

K	-0.730**	0.0832	-0.429***	1.443***	0.0764	0.0589
	(0.247)	(0.139)	(0.0737)	(0.290)	(0.314)	(0.156)

M	-0.954***	-0.152	-0.857***	0.255	-0.683*	-0.651***
	(0.282)	(0.158)	(0.0931)	(0.293)	(0.311)	(0.192)

N	-0.816**	0.935***	-0.525***	0	-1.012**	-0.759***
	(0.249)	(0.141)	(0.0861)	(.)	(0.312)	(0.166)

O	-0.595*	0.355*	0.204**	1.747***	-0.502	0.203
	(0.254)	(0.141)	(0.0753)	(0.355)	(0.310)	(0.156)

Regional GDP pps	0.00123	0.00180	0.00491*	0.289***	0.00652***	-0.00256
	(0.00157)	(0.00394)	(0.00231)	(0.0703)	(0.00181)	(0.00168)

Regional unemp. rate	0.00437	0.0362***	0.00918***	0	0.0712***	-0.0411***
	(0.00365)	(0.00583)	(0.00161)	(.)	(0.00830)	(0.0101)

L			-0.0128	2.456***	0.315	1.598***
			(0.112)	(0.356)	(0.311)	(0.161)

Constant	-1.787***	-2.605***	-1.770***	-6.554***	0.673*	-1.790***
	(0.275)	(0.246)	(0.0924)	(1.421)	(0.341)	(0.204)

Observations	13765	12312	37887	3498	14502	30009

Standard errors in parentheses
* p<0.05, ** p<0.01, *** p<0.001
